Rank,Artist,LeadArtist,Artist Type,Gender,Heritage,TopSong,Year,Decade,Genre,Num1s,Top10s,Top100s
70,Brandy|Monica,Monica,Duo,Female,Black,The Boy Is Mine,1998,1990, R&B,3,8,16
71,Stevie B,Stevie B,Single,Male,Hispanic,Because I Love You (The Postman Song),1990,1990, Pop,1,1,11
72,Joan Jett|the Blackhearts,Joan Jett,Group,Mixed,Anglo,I Love Rock 'n Roll,1982,1980, Rock,2,8,0
73,The 5th Dimension,The 5th Dimension,Group,Mixed,Black,Aquarius/let The Sunshine In,1969,1960, Pop,2,7,29
74,Tag Team,Tag Team,Duo,Male,Black,Whoomp! (There It Is),1993,1990, Hip-Hop/Rap,1,3,0
75,Maroon 5|Christina Aguilera,Maroon 5,Mixed,Mixed,Mixed,Moves Like Jagger,2011,2010, Pop,3,14,29
76,Paul McCartney|Stevie Wonder,Stevie Wonder,Duo,Male,Mixed,Ebony And Ivory,1982,1980, Pop,10,28,63
77,Paula Abdul,Paula Abdul,Single,Female,Anglo,Rush Rush,1991,1990, Pop,6,8,15
78,Dionne|Friends,Dionne,Group,Female,Black,That's What Friends Are For,1986,1980, R&B,6,12,40
79,Pharrell Williams,Pharrell Williams,Single,Male,Black,Happy,2014,2010, R&B,4,7,19
80,Diana Ross,Diana Ross,Single,Female,Black,Upside Down,1980,1980, Dance/Electronic,6,12,40
81,The Archies,The Archies,Group,Mixed,Anglo,Sugar Sugar,1969,1960, Pop,1,2,6
82,Bruno Mars,Bruno Mars,Single,Male,Hispanic,Just The Way You Are,2010,2010, Pop,7,15,22
83,Nelly|Kelly Rowland,Nelly,Duo,Female,Black,Dilemma,2002,2000, Hip-Hop/Rap,4,14,36
84,Marvin Gaye,Marvin Gaye,Single,Male,Black,I Heard It Through The Grapevine,1968,1960, R&B,3,18,56
85,Shania Twain,Shania Twain,Single,Female,Anglo,You're Still The One,1998,1990, Country,3,18,0
86,Michael Jackson,Michael Jackson,Single,Male,Black,Billie Jean,1983,1980, R&B,13,30,51
87,Donna Summer,Donna Summer,Single,Female,Black,Hot Stuff,1979,1970, Dance/Electronic,4,14,32
88,Post Malone|21 Savage,Post Malone,Duo,Male,Mixed,Rockstar,2017,2010, Hip-Hop/Rap,2,4,26
89,Coolio|L.V.,Coolio,Duo,Male,Black,Gangsta's Paradise,1995,1990, Hip-Hop/Rap,1,3,6
90,The Steve Miller Band,The Steve Miller Band,Group,Male,Mixed,Abracadabra,1982,1980, Rock,3,5,19
91,Ed Sheeran,Ed Sheeran,Single,Male,Anglo,Perfect,2017,2010, Pop,2,6,29
92,Carly Simon,Carly Simon,Single,Female,Anglo,You're So Vain,1973,1970, Pop,1,5,24
93,Wild Cherry,Wild Cherry,Single,Male,Anglo,Play That Funky Music,1976,1970, R&B,1,1,5
94,Lionel Richie,Lionel Richie,Single,Male,Black,Say You Say Me,1985,1980, R&B,5,13,20
95,The Knack,The Knack,Group,Male,Anglo,My Sharona,1979,1970, Rock,1,1,6
96,Lionel Richie,Lionel Richie,Single,Male,Black,All Night Long (All Night),1983,1980, R&B,5,13,20
97,Sinead O'Connor,Sinead O'Connor,Single,Female,Anglo,Nothing Compares 2 U,1990,1990, Rock,3,18,0
98,All-4-One,All-4-One,Group,Male,Black,I Swear,1994,1990, R&B,1,3,5
99,Mary J. Blige,Mary J. Blige,Single,Female,Black,Family Affair,2001,2000, R&B,1,6,40
100,Foreigner,Foreigner,Group,Male,Anglo,Waiting For A Girl Like You,1981,1980, Rock,3,11,29
